ID,Title,URL,Reasons,Explanations Link,Pubpeer concerns,Pubpeer Link
10,Computational analysis suggests putative intermediate animal hosts of the SARS-CoV-2,https://www.biorxiv.org/content/10.1101/2020.04.04.025080v2,Authors want to perform additional analysis,https://www.biorxiv.org/content/10.1101/2020.04.04.025080v2,N/A,https://pubpeer.com/publications/21DF0A113486965C6B3AD73A7405BE
11,Mental health status and coping strategy of medical workers in China during The COVID-19 outbreak,https://www.medrxiv.org/content/10.1101/2020.02.23.20026872v2,Authors want to perform additional analysis,https://www.medrxiv.org/content/10.1101/2020.02.23.20026872v2,N/A,https://pubpeer.com/publications/A01C5DC7CFB5D1E08E3FD08E7EB514
12,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",https://www.sciencedirect.com/science/article/pii/S1477893920301332,Concurrent submission of a similar case-study.,https://www.sciencedirect.com/science/article/pii/S1477893920301332,N/A,https://pubpeer.com/publications/81A7F5AE23242BD1D098292E46AE17
13,Effectiveness of Surgical and Cotton Masks in Blocking SARS–CoV-2: A Controlled Comparison in 4 Patients,https://www.acpjournals.org/doi/10.7326/M20-1342,Data analysis issue,https://www.acpjournals.org/doi/10.7326/L20-0745,Data analysis issue,https://pubpeer.com/publications/B1F5DEAB48779899F9028960E5BE28
14,Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext,Erroneous/Missing data or data falsification/engineered (Surgisphere),https://retractionwatch.com/2020/06/04/lancet-retracts-controversial-hydroxychloroquine-study/,Missing information on data and method,https://pubpeer.com/publications/71DA593B9943638F1ADE6F80696914
15,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",https://www.nejm.org/doi/full/10.1056/NEJMoa2007621,Erroneous/Missing data or data falsification/engineered (Surgisphere),https://retractionwatch.com/2020/06/04/lancet-retracts-controversial-hydroxychloroquine-study/,Erroneous/Missing data or data falsification/engineered,https://pubpeer.com/publications/0BC7F7BE65D4BCB4BCA9E66BBBA952
16,Corona Virus Killed by Sound Vibrations Produced by Thali or Ghanti: A Potential Hypothesis,N/A,N/A,N/A,N/A,N/A
17,Clinical and Epidemiological Characteristics of 34 Children With 2019 Novel Coronavirus Infection in Shenzhen,https://pubmed.ncbi.nlm.nih.gov/32062875/,N/A,N/A,N/A,https://pubpeer.com/publications/4D63E265BEFAC3494055C9D6F0FA26
18,COVID-19 Emergency Responders in FDA’s Center for Drug Evaluation and Research,https://www.japha.org/article/S1544-3191(20)30158-8/pdf,Duplicate of an already published article,N/A,N/A,https://pubpeer.com/publications/9E3227BD6439D515B02A80A0D34EE8
19,Managing college operations during the coronavirus outbreak,https://www.japha.org/article/S1544-3191(20)30151-5/pdf,Duplicate of an already published article,N/A,N/A,https://pubpeer.com/publications/925C0E7CDA37F8373318DF11D08063
20,Ivermectin in COVID-19 Related Critical Illness,https://www.isglobal.org/documents/10179/6022921/Patel+et+al.+2020+version+1.pdf/fab19388-dc3e-4593-a075-db96f4536e9d,Erroneous/Missing data or data falsification/engineered (Surgisphere),https://www.the-scientist.com/news-opinion/surgisphere-sows-confusion-about-another-unproven-covid19-drug-67635,Surgisphere,https://pubpeer.com/publications/038035946D1F9F9693A75B1D294EC6
21,Usefulness of Ivermectin in COVID-19 Illness,N/A,"Potentially Surgisphere, no official explanations",N/A,N/A,N/A
22,"Can Your AI Differentiate Cats from Covid-19? Sample Efﬁcient Uncertainty Estimation for Deep Learning Safety,",https://api.deepai.org/publication-download-pdf/can-your-ai-differentiate-cats-from-covid-19-sample-efficient-uncertainty-estimation-for-deep-learning-safety,Paper not presented at the conference. Retracted without explanations,https://www.improbable.com/2020/06/16/dead-salmon-spirit-can-you-not-tell-cats-from-covid-19/,N/A,N/A
23,Patterns of COVID-19 Mortality and Vitamin D: An Indonesian Study,https://emerginnova.com/patterns-of-covid19-mortality-and-vitamin-d-an-indonesian-study/,Problems with statistics and ethics,https://twitter.com/GidMK/status/1274833553927237633,N/A,N/A
24,SARS-CoV-2 infects T lymphocytes through its spike protein-mediated membrane fusion,https://www.nature.com/articles/s41423-020-0424-9,Wrong methodology to suppor the claims of the paper,https://www.nature.com/articles/s41423-020-0498-4,Methodological issues,https://pubpeer.com/search?q=Patterns+of+COVID-19+Mortality+and+Vitamin+D%3A+An+Indonesian+Study
25,Chloroquine or hydroxychloroquine for COVID-19: why might they be hazardous,,Editorial based on Surgisphere data in the Lancet,https://retractionwatch.com/2020/07/10/a-month-after-surgisphere-paper-retraction-lancet-retracts-replaces-hydroxychloroquine-editorial/,Editorial based on Surgisphere data in the Lancet,https://pubpeer.com/publications/EEC48652EF3E79C8FC4119359F86BA
Temporary Retraction,,,,,,
26,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,https://www.sciencedirect.com/science/article/pii/S2095809920300631,Retracted and back online without explanations,N/A,Retracted and back online without explanations,https://pubpeer.com/publications/606EBA841E20FE2F82AAFD360A2BE5
27,Should sexual practices be discouraged during the pandemic?,https://www.jaad.org/article/S0190-9622(20)30761-1/pdf,Findings based on a false-positive PCR test,https://retractionwatch.com/2020/05/12/covid-19-and-sex-rapid-fire-acceptance-leads-to-hasty-withdrawal-of-paper/,N/A,https://pubpeer.com/publications/2588C4088DC66A886BA7EDF8818056
28,An effective protective equipment to use in the vaginal delivery of the pregnant women with suspected/diagnosed COVID-19: Delivery Table Shield,,Production error,https://retractionwatch.com/2020/06/25/journal-temporarily-withdraws-covid-19-labor-cage-study/,N/A,https://pubpeer.com/publications/691E590E8CF99F7E347EFD8A0D8286
Expressions of Concerns,,,,,,
29,Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,https://www.sciencedirect.com/science/article/pii/S0924857920300996,Methodological issues,https://retractionwatch.com/2020/04/06/hydroxychlorine-covid-19-study-did-not-meet-publishing-societys-expected-standard/,Methodological and reporting issues,https://pubpeer.com/publications/E09AC9D25125B0AB077971FBA6DD7B
,,,,,,
,,,,,,
,,,# times authors want to do additional analysis,2,,
,,,# methodology or data analysis was wrong,6,,
,,,# missing raw data,4,,
,,,# peer reviews on pubpeer highlight methodological issues,5,,
