PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment (paper type),
PMC7276854,10.1002/hed.26261,Journal Article,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7276746,10.1002/hed.26262,Journal Article,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7300905,10.1002/hed.26263,Journal Article,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7300785,10.1002/hpm.2991,Journal Article,06-May-2020 0:00:00,07-May-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10991751/homepage/editorialboard.html,0,0,0,Perspective,
PMC7300918,10.1002/jcaf.22448,Journal Article / Review,29-Apr-2020 0:00:00,30-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970053/homepage/editorialboard.html,1,0,0,Article,
PMC7166568,10.1002/jcb.26111,Journal Article,01-May-2017 0:00:00,02-May-2017 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10974644/homepage/editorialboard.html,0,0,0,Review article,
PMC7323389,10.1002/jcp.29771,Journal Article / Review,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10974652/homepage/editorialboard.html,0,0,0,Review article,
PMC7167049,10.1002/jmv.25681,Journal Article / Review,20-Jan-2020 0:00:00,21-Jan-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Review article,
PMC7166327,10.1002/jmv.25699,Journal Article,02-Feb-2020 0:00:00,03-Feb-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Short communication,
PMC7262057,10.1002/jmv.25865,Journal Article,07-Apr-2020 0:00:00,08-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Research article,
PMC7264525,10.1002/jmv.25929,Journal Article,21-Apr-2020 0:00:00,22-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Research article,
PMC7264521,10.1002/jmv.25936,Journal Article,21-Apr-2020 0:00:00,22-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Short communication,
PMC7267623,10.1002/jmv.25946,Journal Article,22-Apr-2020 0:00:00,23-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Short communication,
PMC7300926,10.1002/nau.24429,Journal Article,02-Jun-2020 0:00:00,03-Jun-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/15206777/homepage/editorialboard.html,0,0,0,Report,
PMC7323079,10.1002/nau.24441,Journal Article,03-Jun-2020 0:00:00,04-Jun-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/15206777/homepage/editorialboard.html,0,0,0,Article,
PMC7323039,10.1002/pbc.28435,Journal Article,06-May-2020 0:00:00,07-May-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/15455017/homepage/editorialboard.html,0,0,0,Special Report,
PMC7164519,10.1007/s00068-020-01364-7,Journal Article / Review,01-Apr-2020 0:00:00,02-Apr-2020 0:00:00,1,https://www.springer.com/journal/68/editors,1,0,0,Recommendation,
PMC7185267,10.1007/s00192-020-04314-4,Journal Article,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://www.springer.com/journal/192/editors,0,0,0,"Original Article",
PMC7275929,10.1007/s00264-020-04651-5,Journal Article,20-May-2020 0:00:00,21-May-2020 0:00:00,1,https://www.springer.com/journal/264/editors,0,0,0,"Original Paper",
PMC7302120,10.1007/s00266-020-01833-9,Journal Article / Letter,03-Jun-2020 0:00:00,04-Jun-2020 0:00:00,1,https://www.springer.com/journal/266/editors,0,0,0,"Letter to the Editor",
PMC7087878,10.1007/s00330-020-06748-2,Journal Article / Editorial,12-Feb-2020 0:00:00,13-Feb-2020 0:00:00,1,https://www.springer.com/journal/330/editors,0,0,0,"Editorial",
PMC7175828,10.1007/s00464-020-07565-w,Journal Article,09-Apr-2020 0:00:00,10-Apr-2020 0:00:00,1,https://www.springer.com/journal/464/editors,0,1,0,"Guidelines",
PMC7244938,10.1007/s00467-020-04617-0,Journal Article,12-May-2020 0:00:00,13-May-2020 0:00:00,1,https://www.springer.com/journal/467/editors,0,0,0,"Rapid Communication",
PMC7130453,10.1007/s00592-020-01522-8,Journal Article,17-Mar-2020 0:00:00,18-Mar-2020 0:00:00,1,https://www.springer.com/journal/592/editors,0,0,0,Perspectives,
PMC7170733,10.1007/s00701-020-04342-5,Journal Article,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://www.springer.com/journal/701/editors,0,0,0,Original Article,
PMC7145538,10.1007/s11357-020-00186-0,Journal Article / Review,26-Mar-2020 0:00:00,27-Mar-2020 0:00:00,1,https://www.springer.com/journal/11357/editors,0,1,0,"Review",
PMC7140590,10.1007/s11538-020-00726-x,Journal Article,24-Mar-2020 0:00:00,25-Mar-2020 0:00:00,1,https://www.springer.com/journal/11538/editors,0,0,0,Perspective Article,
PMC7187802,10.1007/s11605-020-04608-4,Journal Article,07-Apr-2020 0:00:00,08-Apr-2020 0:00:00,1,https://www.springer.com/journal/11605/editors,1,0,1,Article,
PMC7088682,10.1007/s11684-020-0753-1,Journal Article,05-Feb-2020 0:00:00,06-Feb-2020 0:00:00,1,https://www.springer.com/journal/11684,0,0,0,Commentary,
PMC7088738,10.1007/s11684-020-0754-0,Journal Article,07-Feb-2020 0:00:00,08-Feb-2020 0:00:00,1,https://www.springer.com/journal/11684,0,0,0,Article,
PMC7089477,10.1007/s11684-020-0755-z,Journal Article,12-Feb-2020 0:00:00,13-Feb-2020 0:00:00,1,https://www.springer.com/journal/11684,0,0,1,Commentary,
PMC7088740,10.1007/s11684-020-0757-x,Journal Article / Case Report,16-Feb-2020 0:00:00,17-Feb-2020 0:00:00,1,https://www.springer.com/journal/11684,0,0,1,Case Report,
PMC7095399,10.1007/s11684-020-0766-9,Journal Article,08-Mar-2020 0:00:00,09-Mar-2020 0:00:00,1,https://www.springer.com/journal/11684,0,0,0,Commentary,
PMC7171433,10.1007/s11684-020-0773-x,Journal Article / Review,19-Mar-2020 0:00:00,20-Mar-2020 0:00:00,1,https://www.springer.com/journal/11684,1,0,1,Review,
PMC7140588,10.1007/s12072-020-10041-1,Journal Article / Editorial,31-Mar-2020 0:00:00,01-Apr-2020 0:00:00,1,https://www.springer.com/journal/12072/editors,0,0,0,"Guidelines",
PMC7245190,10.1007/s12072-020-10054-w,Journal Article,08-May-2020 0:00:00,09-May-2020 0:00:00,1,https://www.springer.com/journal/12072/editors,0,0,1,"Consensus",
PMC7090771,10.1007/s12519-020-00343-7,Journal Article,29-Jan-2020 0:00:00,30-Jan-2020 0:00:00,1,https://www.springer.com/journal/12519/editors,1,0,0,"Review Article",
PMC7095295,10.1007/s12630-020-01637-0,Journal Article / Review,17-Mar-2020 0:00:00,18-Mar-2020 0:00:00,1,https://www.springer.com/journal/12630/editors,0,0,0,"Review Article/Brief Review",
PMC7166096,10.1007/s40615-020-00756-0,Journal Article,02-Apr-2020 0:00:00,03-Apr-2020 0:00:00,1,https://www.springer.com/journal/40615/editors,1,0,0,"Research Article",
PMC7211913,10.1007/s42242-020-00075-7,Journal Article,17-Apr-2020 0:00:00,18-Apr-2020 0:00:00,1,https://www.springer.com/journal/42242/editors,1,0,0,Research Article,
PMC7164846,10.1016/j.acci.2020.04.003,Journal Article,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/acta-colombiana-de-cuidado-intensivo/about/editorial-boardd,,,,,Spanish version
PMC7328601,10.1016/j.adaj.2020.06.039,Journal Article,23-Jun-2020 0:00:00,24-Jun-2020 0:00:00,1,https://www.sciencedirect.com/journal/the-journal-of-the-american-dental-association/about/editorial-board,0,0,0,Review,
PMC7118660,10.1016/j.adro.2020.03.013,Journal Article / Review,24-Mar-2020 0:00:00,25-Mar-2020 0:00:00,1,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Review,
PMC7179507,10.1016/j.adro.2020.04.010,Journal Article,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief opinion,
PMC7175910,10.1016/j.adro.2020.04.011,Journal Article,07-Apr-2020 0:00:00,08-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief opinion,
PMC7195079,10.1016/j.ajp.2020.102074,Journal Article,01-Apr-2020 0:00:00,02-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/asian-journal-of-psychiatry/editorial-board,0,0,0,Article,
PMC7195042,10.1016/j.ajp.2020.102128,Journal Article,19-Apr-2020 0:00:00,20-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/asian-journal-of-psychiatry/editorial-board,0,0,1,Article,
PMC7161516,10.1016/j.amjsurg.2020.04.014,Journal Article / Editorial,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/the-american-journal-of-surgery/editorial-board,0,0,0,My Thoughts/My Surgical Practice,
PMC7297689,10.1016/j.annonc.2020.06.007,Journal Article,04-Jun-2020 0:00:00,05-Jun-2020 0:00:00,1,https://www.annalsofoncology.org/editorial_board,0,1,0,Article,
PMC7182532,10.1016/j.anpede.2020.02.002,Journal Article,13-Feb-2020 0:00:00,14-Feb-2020 0:00:00,1,https://www.analesdepediatria.org/en-comite-editorial,0,1,1,Article,
PMC7118614,10.1016/j.anpedi.2020.02.001,Journal Article,13-Feb-2020 0:00:00,14-Feb-2020 0:00:00,1,,,,,,Spanish version of PMC7182532
PMC7241374,10.1016/j.arcmed.2020.05.009,Journal Article,14-May-2020 0:00:00,15-May-2020 0:00:00,1,https://www.journals.elsevier.com/archives-of-medical-research/editorial-board,0,0,0,Opinion,
PMC7166110,10.1016/j.arth.2020.04.032,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,3,Article,
PMC7166108,10.1016/j.arth.2020.04.035,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,0,Article,
PMC7169903,10.1016/j.arth.2020.04.046,Journal Article,15-Apr-2020 0:00:00,16-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,1,Article,
PMC7175889,10.1016/j.arth.2020.04.048,Journal Article,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,3,Article,
PMC7175869,10.1016/j.arth.2020.04.049,Journal Article,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,1,1,Current Practices,
PMC7175874,10.1016/j.arth.2020.04.050,Journal Article,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,3,Article,
PMC7195093,10.1016/j.arth.2020.04.052,Journal Article,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,6,Article,
PMC7194564,10.1016/j.arth.2020.04.053,Journal Article,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,2,Brief communication,
PMC7184973,10.1016/j.arth.2020.04.055,Journal Article,17-Apr-2020 0:00:00,18-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,1,Article,
PMC7183965,10.1016/j.asmr.2020.04.007,Journal Article / Editorial,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/arthroscopy-sports-medicine-and-rehabilitation/editorial-board,0,0,1,Article,
PMC7315980,10.1016/j.asmr.2020.06.008,Journal Article,17-Jun-2020 0:00:00,18-Jun-2020 0:00:00,1,https://www.journals.elsevier.com/arthroscopy-sports-medicine-and-rehabilitation/editorial-board,0,0,0,Article,
PMC7146713,10.1016/j.athoracsur.2020.03.005,Journal Article,23-Mar-2020 0:00:00,24-Mar-2020 0:00:00,1,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,6,Article,
PMC7196543,10.1016/j.athoracsur.2020.04.018,Journal Article,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,0,Article,
PMC7274087,10.1016/j.athoracsur.2020.05.017,Journal Article,26-May-2020 0:00:00,27-May-2020 0:00:00,1,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,0,0,How to do it,
PMC7195002,10.1016/j.autrev.2020.102537,Journal Article / Review,29-Mar-2020 0:00:00,30-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Review,
PMC7198406,10.1016/j.autrev.2020.102566,Journal Article / Review,28-Apr-2020 0:00:00,29-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,1,Article,
PMC7252115,10.1016/j.autrev.2020.102568,Journal Article / Review,16-Apr-2020 0:00:00,17-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Article,
PMC7252146,10.1016/j.autrev.2020.102569,Journal Article / Review,14-Apr-2020 0:00:00,15-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Review,
PMC7252097,10.1016/j.autrev.2020.102570,Journal Article / Review,12-Apr-2020 0:00:00,13-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Review,
PMC7199723,10.1016/j.autrev.2020.102573,Journal Article / Review,11-Apr-2020 0:00:00,12-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Review,
PMC7200131,10.1016/j.autrev.2020.102574,Journal Article / Review,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,1,Opinion,
PMC7200134,10.1016/j.autrev.2020.102575,Journal Article / Review,22-Apr-2020 0:00:00,23-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/autoimmunity-reviews/about/editorial-board,0,0,0,Article,
PMC7188652,10.1016/j.avsg.2020.04.040,Journal Article / Case Report,22-Apr-2020 0:00:00,23-Apr-2020 0:00:00,1,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Case Report,
PMC7256515,10.1016/j.avsg.2020.05.031,Journal Article / Case Report,15-May-2020 0:00:00,16-May-2020 0:00:00,1,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Case Report,Jose Antonio Gonzalez-Fajardo is an author and part of the Editorial Board but with a different affiliation
PMC7153528,10.1016/j.bbi.2020.04.028,Journal Article,09-Apr-2020 0:00:00,10-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/brain-behavior-and-immunity/about/editorial-board,0,0,0,Article,
PMC7177068,10.1016/j.bbi.2020.04.053,Journal Article / Letter,20-Apr-2020 0:00:00,21-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/brain-behavior-and-immunity/about/editorial-board,0,0,0,Short ,
PMC7199703,10.1016/j.bbi.2020.05.010,Journal Article / Letter,02-May-2020 0:00:00,03-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/brain-behavior-and-immunity/about/editorial-board,0,0,0,Article,
PMC7200376,10.1016/j.bbrc.2020.05.008,Journal Article,30-Apr-2020 0:00:00,01-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/biochemical-and-biophysical-research-communications/about/editorial-board,0,0,0,Article,
PMC7227517,10.1016/j.bj.2020.05.001,Journal Article,07-May-2020 0:00:00,08-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/biomedical-journal/about/editorial-board,0,0,1,Article,
PMC7152882,10.1016/j.bjoms.2020.04.002,Journal Article,01-Apr-2020 0:00:00,02-Apr-2020 0:00:00,1,https://www.bjoms.com/content/edboard,0,0,0,Article,
PMC7252185,10.1016/j.bjoms.2020.04.030,Journal Article,22-Apr-2020 0:00:00,23-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/british-journal-of-oral-and-maxillofacial-surgery/about/editorial-board,0,0,0,Short communication,
PMC7195076,10.1016/j.bjps.2020.03.027,Journal Article / Letter,24-Mar-2020 0:00:00,25-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/journal-of-plastic-reconstructive-and-aesthetic-surgery/about/editorial-board,0,0,0,Correspondence and Communications,
PMC7146696,10.1016/j.canrad.2020.04.001,Journal Article / Review,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/cancer-radiotherapie/about/editorial-board,0,0,3,Clarification,
PMC7194886,10.1016/j.cca.2020.04.026,Journal Article,23-Apr-2020 0:00:00,24-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/clinica-chimica-acta/about/editorial-board,0,0,0,Article,
PMC7156225,10.1016/j.chaos.2020.109761,Journal Article,11-Mar-2020 0:00:00,12-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,
PMC7253947,10.1016/j.cireng.2020.05.009,Journal Article,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/cirugia-espanola-english-edition/about/editorial-board,0,1,0,Article,1 editor classified as AE
PMC7151448,10.1016/j.ciresp.2020.04.009,Journal Article,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/cirugia-espanola-english-edition/about/editorial-board,0,1,0,Article,spanish version of above article
PMC7194553,10.1016/j.cjca.2020.04.001,Journal Article,31-Mar-2020 0:00:00,01-Apr-2020 0:00:00,1,https://www.onlinecjc.ca/edboard,0,0,2,Training/practice,
PMC7102614,10.1016/j.clim.2020.108393,Journal Article / Review,23-Mar-2020 0:00:00,24-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/clinical-immunology/about/editorial-board,0,1,0,Review,
PMC7227572,10.1016/j.clnu.2020.05.006,Journal Article / Editorial,07-May-2020 0:00:00,08-May-2020 0:00:00,1,https://www.journals.elsevier.com/clinical-nutrition/editorial-board,0,1,3,Editorial,
PMC7151533,10.1016/j.crad.2020.03.028,Journal Article / Review,26-Mar-2020 0:00:00,27-Mar-2020 0:00:00,1,https://www.clinicalradiologyonline.net/content/edboard,0,0,0,Review,
PMC7211650,10.1016/j.cytogfr.2020.05.003,Journal Article / Review,06-May-2020 0:00:00,07-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Review,
PMC7237916,10.1016/j.cytogfr.2020.05.009,Journal Article / Review,16-May-2020 0:00:00,17-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Article,
PMC7313507,10.1016/j.cytogfr.2020.06.012,Journal Article / Review,17-Jun-2020 0:00:00,18-Jun-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Review,
PMC7245650,10.1016/j.dhjo.2020.100942,Journal Article,21-May-2020 0:00:00,22-May-2020 0:00:00,1,https://www.sciencedirect.com/journal/disability-and-health-journal/about/editorial-board,0,1,0,Report,
PMC7102587,10.1016/j.dsx.2020.03.011,Journal Article,21-Mar-2020 0:00:00,22-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Article,
PMC7128942,10.1016/j.dsx.2020.03.017,Journal Article,26-Mar-2020 0:00:00,27-Mar-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Article,
PMC7195120,10.1016/j.dsx.2020.04.004,Journal Article,03-Apr-2020 0:00:00,04-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Article,
PMC7204679,10.1016/j.dsx.2020.04.050,Journal Article,29-Apr-2020 0:00:00,30-Apr-2020 0:00:00,1,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews/about/editorial-board,0,0,0,Article,
