PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7152921,10.1016/j.jmii.2020.04.002,Journal Article,17/03/2020,02/04/2020,16,https://www.sciencedirect.com/journal/journal-of-microbiology-immunology-and-infection/about/editorial-board,0,0,0,Case Report,Case report,Case report,Article
PMC7293449,10.1016/j.jstrokecerebrovasdis.2020.105047,Journal Article / Case Report,24/05/2020,09/06/2020,16,https://www.strokejournal.org/content/edboard,0,0,0,Case Report,Case report,Case report,Article
PMC7161490,10.1016/j.jfma.2020.04.008,Journal Article / Case Report,24/03/2020,09/04/2020,16,https://www.sciencedirect.com/journal/journal-of-the-formosan-medical-association/about/editorial-board,0,0,0,Case Report,Case report,Case report,Article
PMC7202802,10.1016/j.msard.2020.102180,Journal Article / Case Report,16/04/2020,02/05/2020,16,https://www.journals.elsevier.com/multiple-sclerosis-and-related-disorders/editorial-board,0,0,0,Case report,Case report,Case report,Article
PMC7151364,10.1016/j.thromres.2020.04.011,Journal Article / Letter,23/03/2020,08/04/2020,16,https://www.journals.elsevier.com/thrombosis-research/editorial-board,0,0,0,Case report,Letter to the Editors-in-Chief,Case report,Article
PMC7255141,10.1016/j.ajem.2020.05.058,Journal Article / Case Report,04/05/2020,20/05/2020,16,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,0,Case series,-,Case report,Article
PMC7300504,10.1111/tid.13348,Journal Article / Case Report,11/05/2020,27/05/2020,16,https://www.ovid.com/product-details.1035.html,0,0,0,Case series,Case report,Case report,Article
PMC7296339,10.1016/j.ensci.2020.100247,Journal Article / Letter,18/05/2020,03/06/2020,16,https://www.sciencedirect.com/journal/eneurologicalsci/about/editorial-board,0,0,0,Letter to the editor,Letter to the editor,Case report,Article
PMC7099527,10.1001/jama.2020.4621,Journal Article,02/03/2020,18/03/2020,16,https://jamanetwork.com/journals/jama/fullarticle/2770016,0,0,0,Research Letter,Research Letter,Case report,Article
PMC7260620,10.1001/jamanetworkopen.2020.10478,Journal Article,17/04/2020,03/05/2020,16,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2770063,0,0,0,Research Letter,Research Letter,Case report,Article
PMC7316121,10.1136/postgradmedj-2020-137884,Journal Article,13/04/2020,29/04/2020,16,https://pmj.bmj.com/pages/editorial-board/,0,0,0,Article,Original research ,Meta-analysis,Article
PMC7185114,10.18632/aging.103000,Journal Article,12/03/2020,28/03/2020,16,https://www.aging-us.com/editorial-board,0,0,0,Research paper,Research paper,Meta-analysis,Article
PMC7290628,10.21037/atm-20-3307,Journal Article,14/04/2020,30/04/2020,16,http://atm.amegroups.com/about/editorialTeam,0,0,1,Meta-analysis / COI DISCLOSED,Original article,Meta-analysis / COI DISCLOSED,Article
PMC7290647,10.21037/atm-20-3311,Journal Article,14/04/2020,30/04/2020,16,http://atm.amegroups.com/about/editorialTeam,0,0,1,Meta-analysis / COI DISCLOSED,Original article,Meta-analysis / COI DISCLOSED,Article
PMC7211740,10.1016/j.lfs.2020.117775,Journal Article / Review,21/04/2020,07/05/2020,16,https://www.sciencedirect.com/journal/life-sciences/about/editorial-board,0,0,0,Article,-,meta-analysis,Article
PMC7264938,10.1016/j.ajem.2020.05.097,Journal Article / Letter,10/05/2020,26/05/2020,16,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,0,Correspondence,Correspondence,Article,Article
PMC7239238,10.1093/ageing/afaa093,Journal Article / Review,31/03/2020,16/04/2020,16,https://academic.oup.com/ageing/pages/Editorial_Board,0,1,0,Review,Clinical review,Meta-analysis,Article
PMC7220287,10.14336/AD.2020.0502,Journal Article / Review,16/04/2020,02/05/2020,16,http://www.aginganddisease.org/EN/column/column213.shtml,0,0,0,Review,Review,Meta-analysis,Article
PMC7251405,10.1016/j.psym.2020.05.018,Journal Article / Review,19/04/2020,05/05/2020,16,https://www.journals.elsevier.com/psychosomatics/editorial-board,0,0,0,Review,Review article,Meta-analysis,Article
PMC7290608,10.21037/atm-20-3312,Journal Article,14/04/2020,30/04/2020,16,http://atm.amegroups.com/about/editorialTeam,0,0,1,Review / COI DISCLOSED,Original Article ,Meta-analysis,Article
PMC7232062,10.1038/s41433-020-0926-9,Journal Article / Review,06/04/2020,22/04/2020,16,https://www.nature.com/eye/editors,0,0,0,Review Article,Review Article ,Meta-analysis,Article
PMC7272815,10.1002/jts.22544,Journal Article,21/04/2020,07/05/2020,16,https://onlinelibrary.wiley.com/page/journal/15736598/homepage/editorialboard.html,0,1,1,Special article,Special article,Guideline,Editorial
PMC7239118,10.1093/jjco/hyaa077,Journal Article,23/04/2020,09/05/2020,16,https://academic.oup.com/jjco/pages/Editorial_Board,0,0,0,Article,Public health report,Guidelines,Editorial
PMC7245329,10.1016/j.jstrokecerebrovasdis.2020.104980,Journal Article,30/04/2020,16/05/2020,16,https://www.strokejournal.org/content/edboard,0,0,0,Article,-,Guidelines,Editorial
PMC7225247,10.1007/s00405-020-06037-0,Journal Article,19/04/2020,05/05/2020,16,https://www.springer.com/journal/405/editors,0,0,0,Short communication,Short communication,Guidelines,Editorial
PMC7194918,10.1016/j.mehy.2020.109754,Journal Article,05/04/2020,21/04/2020,16,https://www.journals.elsevier.com/medical-hypotheses/editorial-board,0,0,0,Article,-,Hypothese,Editorial
PMC7185016,10.1016/j.mehy.2020.109783,Journal Article,06/04/2020,22/04/2020,16,https://www.journals.elsevier.com/medical-hypotheses/editorial-board,0,0,0,Article,-,Hypothese,Editorial
PMC7308773,10.1016/j.mehy.2020.110024,Journal Article,03/06/2020,19/06/2020,16,https://www.journals.elsevier.com/medical-hypotheses/editorial-board,0,0,0,Article,-,Hypothese,Editorial
PMC7309834,10.1016/j.mehy.2020.110025,Journal Article,03/06/2020,19/06/2020,16,https://www.journals.elsevier.com/medical-hypotheses/editorial-board,0,0,0,Article,-,Hypothese,Editorial
PMC7282467,10.1007/s00405-020-06113-5,Journal Article / Letter,19/05/2020,04/06/2020,16,https://www.springer.com/journal/405/editors,0,0,0,Letter to the Editor,Letter to the editor,Opinion,Editorial
PMC7306493,10.1007/s12603-020-1425-1,Journal Article,04/05/2020,20/05/2020,16,https://www.springer.com/journal/12603/editors,0,0,0,Article,-,Perspective,Editorial
PMC7316427,10.1007/s42765-020-00049-5,Journal Article / Letter,25/05/2020,10/06/2020,16,https://www.springer.com/journal/42765/editors,0,1,0,Letter,Letter,Perspective,Editorial
PMC7133679,10.1016/j.psychres.2020.112902,Journal Article / Letter,11/02/2020,27/02/2020,16,https://www.journals.elsevier.com/psychiatry-research/editorial-board,0,0,0,Letter,Letter to the Editor,Perspective,Editorial
PMC7273110,10.1111/gwao.12468,Journal Article,22/04/2020,08/05/2020,16,https://onlinelibrary.wiley.com/page/journal/14680432/homepage/editorialboard.html,0,0,0,Article,FEMINIST FRONTIERS ,Perspective,Editorial
PMC7300594,10.1111/gwao.12482,Journal Article,11/05/2020,27/05/2020,16,https://onlinelibrary.wiley.com/page/journal/14680432/homepage/editorialboard.html,0,0,0,Article,FEMINIST FRONTIERS ,Perspective,Editorial
PMC7258755,10.1161/STROKEAHA.120.030329,Journal Article,19/04/2020,05/05/2020,16,https://www.ahajournals.org/str/editorial-board,0,0,0,Article,Research article,Perspective,Editorial
PMC7188690,10.1017/dmp.2020.102,Journal Article,26/03/2020,11/04/2020,16,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/information/editorial-board,0,0,0,Brief report,Brief report,Perspective,Editorial
PMC7295552,10.14740/jocmr4201,Journal Article / Review,04/05/2020,20/05/2020,16,https://www.jocmr.org/index.php/jocmr/pages/view/editorialTeam,0,0,0,Article,Review,Review,Editorial
PMC7183956,10.1016/j.reuma.2020.04.009,Journal Article,25/03/2020,10/04/2020,16,https://www.springer.com/journal/10067/editors,0,0,0,Article,ARTÍCULO ESPECIAL ,Review,Editorial
PMC7191115,10.1183/13993003.01023-2020,Journal Article / Editorial,04/04/2020,20/04/2020,16,https://erj.ersjournals.com/journal/editorial-board,0,1,0,Article,Editorial,Review,Editorial
PMC7217344,10.1007/s12603-020-1385-5,Journal Article,17/04/2020,03/05/2020,16,https://www.springer.com/journal/12603/editors,0,0,0,Article,-,Review,Editorial
PMC7183283,10.1016/j.anpedi.2020.04.016,Journal Article,07/04/2020,23/04/2020,16,https://www.sciencedirect.com/journal/anales-de-pediatria/about/editorial-board,0,0,0,Article special,Artículo especial ,Review,Editorial
PMC7261257,10.1007/s42485-020-00038-7,Journal Article / Letter,07/05/2020,23/05/2020,16,https://www.springer.com/journal/42485/editors,0,1,0,Letter to the Editor,Letter to the editor,Review,Editorial
PMC7261082,10.1016/j.msksp.2020.102193,Journal Article,01/05/2020,17/05/2020,16,https://www.journals.elsevier.com/musculoskeletal-science-and-practice/editorial-board,0,0,0,Masterclass,Masterclass,Review,Editorial
PMC7206445,10.1016/j.radonc.2020.05.002,Journal Article / Review,16/04/2020,02/05/2020,16,https://www.journals.elsevier.com/radiotherapy-and-oncology/editorial-board,0,0,0,Rapid communication,Rapid communication,Review,Editorial
PMC7323381,10.1111/1467-8500.12437,Journal Article,24/05/2020,09/06/2020,16,https://onlinelibrary.wiley.com/page/journal/14678500/homepage/editorialboard.html,0,0,0,RESEARCH AND EVALUATION,RESEARCH AND EVALUATION,Review,Editorial
PMC7280701,10.1111/dth.13639,Journal Article / Review,28/04/2020,14/05/2020,16,https://onlinelibrary.wiley.com/page/journal/15298019/homepage/editorialboard.html,0,0,0,Research article,Review article,Review,Editorial
PMC7102618,10.1016/j.jgar.2020.02.021,Journal Article,05/02/2020,21/02/2020,16,https://www.sciencedirect.com/journal/journal-of-global-antimicrobial-resistance/about/editorial-board,0,0,0,Article,-,Review,Editorial
PMC7300769,10.1002/cncr.32980,Journal Article / Comment,20/04/2020,06/05/2020,16,https://acsjournals.onlinelibrary.wiley.com/hub/journal/10970142/homepage/editorialboard.html,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7238723,10.1186/s41512-020-00079-y,Journal Article / Editorial,13/04/2020,29/04/2020,16,https://diagnprognres.biomedcentral.com/about/editorial-board,0,0,1,Commentary,Commentary,Review,Editorial
PMC7200049,10.1007/s00011-020-01353-x,Journal Article,11/04/2020,27/04/2020,16,https://www.springer.com/journal/11/editors,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7303584,10.1186/s40545-020-00241-3,Journal Article / Letter,26/05/2020,11/06/2020,16,https://joppp.biomedcentral.com/about/editorial-board,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7247514,10.1016/j.vaccine.2020.05.064,Journal Article,05/05/2020,21/05/2020,16,https://www.journals.elsevier.com/vaccine/editorial-board,0,1,1,Consensus summary report,Conference report,Guidelines,Editorial
PMC7250553,10.1016/j.jclinane.2020.109931,Journal Article / Letter,09/05/2020,25/05/2020,16,https://www.sciencedirect.com/journal/journal-of-clinical-anesthesia/about/editorial-board,0,0,0,Correspondence,Correspondence,Perspective,Editorial
PMC7267627,10.1111/bjh.16775,Journal Article / Letter,17/04/2020,03/05/2020,16,https://onlinelibrary.wiley.com/page/journal/13652141/homepage/editorialboard.html,0,0,2,Guideline,Guideline,Guideline,Editorial
PMC7235990,10.3390/diagnostics10040243,Journal Article,02/04/2020,18/04/2020,16,https://www.mdpi.com/journal/diagnostics/editors,0,0,1,Guideline,Guideline,Guideline,Editorial
PMC7129866,10.1016/j.eujim.2020.101116,Journal Article,16/03/2020,01/04/2020,16,https://www.sciencedirect.com/journal/european-journal-of-integrative-medicine/about/editorial-board,0,0,1,Opinion Paper,Opinion paper,Guideline,Editorial
PMC7262681,10.1038/s41375-020-0887-9,Journal Article / Review,05/05/2020,21/05/2020,16,https://www.nature.com/leu/editors,0,1,0,Perspective,Perspective,Perspective,Editorial
PMC7265684,10.2217/nnm-2020-0163,Journal Article / Review,21/04/2020,07/05/2020,16,https://www.futuremedicine.com/journals/nnm/editors,0,0,0,Perspective,Perspective,Review,Editorial
PMC7276979,10.1152/ajpendo.00183.2020,Journal Article,28/04/2020,14/05/2020,16,https://journals.physiology.org/ajpendo/edboard,0,0,0,Perspectives,Perspectives,Perspective,Editorial
PMC7262026,10.1111/1742-6723.13514,Journal Article,17/03/2020,02/04/2020,16,https://onlinelibrary.wiley.com/page/journal/17426723/homepage/editorialboard.html,0,0,0,Perspectives,Perspectives,Perspective,Editorial
PMC7330551,10.1016/j.erss.2020.101685,Journal Article / Review,08/06/2020,24/06/2020,16,https://www.sciencedirect.com/journal/energy-research-and-social-science/about/editorial-board,0,1,3,Perspectives,Perspectives,Perspective,Editorial
PMC7265877,10.1016/j.ijid.2020.05.115,Journal Article / Review,12/05/2020,28/05/2020,16,https://www.ijidonline.com/content/edboard,0,0,0,Perspectives,Perspective,Perspective,Editorial
PMC7305738,10.1016/j.critrevonc.2020.103033,Journal Article / Review,28/05/2020,13/06/2020,16,https://www.sciencedirect.com/journal/critical-reviews-in-oncology-hematology/about/editorial-board,1,0,0,Recommendations,-,Guidelines,Editorial
PMC7275657,10.1186/s13613-020-00689-1,Journal Article / Review,09/05/2020,25/05/2020,16,https://annalsofintensivecare.springeropen.com/about/editorial-board,0,0,0,Review,Review,Guideline,Editorial
PMC7295866,10.1136/bmjnph-2020-000085,Journal Article / Review,14/04/2020,30/04/2020,16,https://nutrition.bmj.com/pages/editorial-board/,0,0,0,Review,Review,Review,Editorial
PMC7226793,10.3390/cells9040909,Journal Article / Review,21/03/2020,06/04/2020,16,https://www.mdpi.com/journal/cells/editors,0,0,0,Review,Review,Review,Editorial
PMC7263008,10.7759/cureus.8342,Journal Article / Review,12/05/2020,28/05/2020,16,https://www.cureus.com/editorial_board,0,0,0,Review,Review article,Review,Editorial
PMC7252154,10.1016/j.retram.2020.04.003,Journal Article / Review,07/04/2020,23/04/2020,16,https://www.em-consulte.com/revue/RETRAM/presentation/current-research-in-translational-medicine,0,0,0,Review,General review,Review,Editorial
PMC7277967,10.3390/diagnostics10050290,Journal Article / Review,21/04/2020,07/05/2020,16,https://www.mdpi.com/journal/diagnostics/editors,0,0,0,Review,Review,Review,Editorial
PMC7118633,10.1016/j.ijid.2020.03.071,Journal Article / Review,08/03/2020,24/03/2020,16,https://www.ijidonline.com/content/edboard,0,0,0,Review,Review,Review,Editorial
PMC7229736,10.1016/j.ijpharm.2020.119431,Journal Article / Review,26/04/2020,12/05/2020,16,https://www.sciencedirect.com/journal/international-journal-of-pharmaceutics/about/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7306958,10.12669/pjms.36.COVID19-S4.2660,Journal Article / Review,11/04/2020,27/04/2020,16,http://pjms.com.pk/index.php/pjms/about/editorialTeam,0,0,0,Review,Review article,Review,Editorial
PMC7217799,10.1016/j.phrs.2020.104904,Journal Article / Review,20/04/2020,06/05/2020,16,https://www.journals.elsevier.com/pharmacological-research/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7269964,10.1016/j.radi.2020.05.012,Journal Article / Review,07/05/2020,23/05/2020,16,https://www.journals.elsevier.com/radiography/editorial-board,0,0,0,Review,Narrative Review,Review,Editorial
PMC7235470,10.1002/rmv.2109,Journal Article / Review,17/03/2020,02/04/2020,16,https://onlinelibrary.wiley.com/page/journal/10991654/homepage/editorialboard.html,0,0,0,Review,Review,Review,Editorial
PMC7227578,10.1016/j.jagp.2020.05.012,Journal Article / Review,24/04/2020,10/05/2020,16,https://www.ajgponline.org/content/edboard,0,0,0,Review,Clinical Review Article,Review,Editorial
PMC7311128,10.5152/eurasianjmed.2020.20056,Journal Article / Review,24/03/2020,09/04/2020,16,https://www.eajm.org/en/editorial-board-108,0,0,0,Review,Review,Review,Editorial
PMC7157948,10.1080/15513815.2020.1747120,Journal Article / Review,04/03/2020,20/03/2020,16,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ipdp20,0,0,0,Review Article,Reviews,Review,Editorial
PMC7242756,10.3389/fimmu.2020.01049,Journal Article / Review,14/04/2020,30/04/2020,16,https://www.frontiersin.org/journals/immunology#editorial-board,0,0,0,Review Article,Review Article ,Review,Editorial
PMC7274628,10.1016/j.hlc.2020.05.101,Journal Article / Review,21/04/2020,07/05/2020,16,https://www.heartlungcirc.org/content/edboard,0,0,0,Review Article,Review,Review,Editorial
PMC7284141,10.1080/07391102.2020.1767211,Journal Article / Review,19/04/2020,05/05/2020,16,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tbsd20,0,0,0,Review Article,Review Article ,Review,Editorial
PMC7323230,10.1002/jcp.29868,Journal Article / Review,12/05/2020,28/05/2020,16,https://onlinelibrary.wiley.com/page/journal/10974652/homepage/editorialboard.html,0,0,0,Review Article,Review Article ,Review,Editorial
PMC7231166,10.3390/jcm9041131,Journal Article / Review,28/03/2020,13/04/2020,16,https://www.mdpi.com/journal/jcm/editors,0,0,0,Review Article,Review,Review,Editorial
PMC7192319,10.1007/s13181-020-00777-5,Journal Article / Review,24/03/2020,09/04/2020,16,https://www.springer.com/journal/13181/editors,0,0,0,Review Article,Review,Review,Editorial
