PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7242930,10.1016/j.ajem.2020.05.042,Journal Article / Case Report,19/05/2020,19/05/2020,0,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,1,Article,Full length article,Case report,Article
PMC7212949,10.1016/j.amjms.2020.05.006,Journal Article / Review,01/05/2020,01/05/2020,0,https://www.journals.elsevier.com/the-american-journal-of-the-medical-sciences/editorial-board,0,0,0,Review,Review article,Review,Editorial
PMC7166028,10.1016/j.arth.2020.04.038,Journal Article,15/04/2020,15/04/2020,0,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,0,Article,Economics,Perspective,Editorial
PMC7195265,10.1016/j.arth.2020.04.054,Journal Article,17/04/2020,17/04/2020,0,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,2,Response,Orthopedic community response,Perspective,Editorial
PMC7185911,10.1016/j.athoracsur.2020.04.007,Journal Article,16/04/2020,16/04/2020,0,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,0,Report,COVID-19 guidance documents ,Guideline,Editorial
PMC7227551,10.1016/j.athoracsur.2020.05.003,Journal Article,06/05/2020,06/05/2020,0,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,0,Report,COVID-19 guidance documents ,Guideline,Editorial
PMC7177144,10.1016/j.avsg.2020.04.037,Journal Article / Case Report,07/04/2020,07/04/2020,0,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Article,COVID-19,Case report,Article
PMC7211577,10.1016/j.avsg.2020.04.041,Journal Article,30/04/2020,30/04/2020,0,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Article,COVID-19,Perspective,Editorial
PMC7175849,10.1016/j.bbi.2020.04.056,Journal Article / Review,21/04/2020,21/04/2020,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Viewpoint,Viewpoint,Viewpoint,Editorial
PMC7206431,10.1016/j.bbi.2020.05.026,Journal Article / Review,06/05/2020,06/05/2020,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Article,-,Meta-analysis,Article
PMC7212955,10.1016/j.bbi.2020.05.028,Journal Article / Letter,07/05/2020,07/05/2020,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Case report,-,Case report,Article
PMC7138160,10.1016/j.bbih.2020.100064,Journal Article,21/03/2020,21/03/2020,0,https://www.journals.elsevier.com/brain-behavior-and-immunity-health/editorial-board,0,0,2,Article,Full length article,Article,Article
PMC7162778,10.1016/j.carpath.2020.107228,Journal Article / Review,11/04/2020,11/04/2020,0,https://www.journals.elsevier.com/cardiovascular-pathology/editorial-board,0,0,0,Review,Review article,Review,Editorial
PMC7227608,10.1016/j.carrev.2020.05.009,Journal Article / Case Report,11/05/2020,11/05/2020,0,https://www.journals.elsevier.com/cardiovascular-revascularization-medicine/editorial-board,1,0,3,Case report,-,Case report,Article
PMC7241397,10.1016/j.carrev.2020.05.027,Journal Article / Review,19/05/2020,19/05/2020,0,https://www.journals.elsevier.com/cardiovascular-revascularization-medicine/editorial-board,1,2,1,Review,-,Review,Editorial
PMC7196403,10.1016/j.cireng.2020.04.003,Journal Article,17/03/2020,17/03/2020,0,https://www.journals.elsevier.com/cirugia-espanola/editorial-board,0,1,0,Special article,Special article,Guideline,Editorial
PMC7253976,10.1016/j.cireng.2020.05.008,Journal Article,03/04/2020,03/04/2020,0,https://www.journals.elsevier.com/cirugia-espanola/editorial-board,0,0,0,Article,Original article,Article,Article
PMC7102580,10.1016/j.cjca.2020.03.027,Journal Article,23/03/2020,23/03/2020,0,https://www.journals.elsevier.com/canadian-journal-of-cardiology/editorial-board,0,0,5,Guidelines,Training/Practice,Guidelines,Editorial
PMC7195336,10.1016/j.cjca.2020.04.003,Journal Article,02/04/2020,02/04/2020,0,https://www.journals.elsevier.com/canadian-journal-of-cardiology/editorial-board,0,0,3,Article,Training/Practice,Guidelines,Editorial
PMC7189192,10.1016/j.clim.2020.108450,Journal Article,27/04/2020,27/04/2020,0,https://www.journals.elsevier.com/clinical-immunology/editorial-board,0,0,0,Case report,-,Case report,Article
PMC7141645,10.1016/j.clinimag.2020.04.001,Journal Article / Review,06/04/2020,06/04/2020,0,https://www.journals.elsevier.com/clinical-imaging/editorial-board,0,0,0,Review,Cardiothoracic Imaging ,Review,Editorial
PMC7118596,10.1016/j.ctcp.2020.101166,Journal Article,30/03/2020,30/03/2020,0,https://www.journals.elsevier.com/complementary-therapies-in-clinical-practice/editorial-board,0,0,0,Article,-,Article,Editorial
PMC7241378,10.1016/j.diabet.2020.05.008,Journal Article / Review,15/05/2020,15/05/2020,0,https://www.journals.elsevier.com/diabetes-and-metabolism/editorial-board,0,1,0,Review,Mini review,Review,Editorial
PMC7144598,10.1016/j.dsx.2020.03.016,Journal Article,28/03/2020,28/03/2020,0,https://www.journals.elsevier.com/diabetes-and-metabolic-syndrome-clinical-research-and-reviews/editorial-board,1,1,0,Article,-,Meta-analysis,Article
PMC7214279,10.1016/j.dsx.2020.05.018,Journal Article,08/05/2020,08/05/2020,0,https://www.journals.elsevier.com/diabetes-and-metabolic-syndrome-clinical-research-and-reviews/editorial-board,1,0,0,Review,-,Article,Article
PMC7270771,10.1016/j.earlhumdev.2020.105026,Journal Article,23/03/2020,23/03/2020,0,https://www.journals.elsevier.com/early-human-development/editorial-board,0,0,0,Article,-,Perspective,Editorial
PMC7136865,10.1016/j.ejca.2020.03.024,Journal Article,31/03/2020,31/03/2020,0,https://www.journals.elsevier.com/european-journal-of-cancer/editorial-board,0,0,0,Article,Current perspective,Article,Article
PMC7128395,10.1016/j.ekir.2020.04.001,Journal Article / Review,02/04/2020,02/04/2020,0,https://www.journals.elsevier.com/kidney-international-reports/editorial-board,0,0,0,Review,Review,Perspective,Editorial
PMC7102667,10.1016/j.gie.2020.03.019,Journal Article,12/03/2020,12/03/2020,0,https://www.journals.elsevier.com/gastrointestinal-endoscopy/editorial-board,0,1,0,Special article,Special article,Guidelines,Editorial
PMC7187877,10.1016/j.gie.2020.04.049,Journal Article,21/04/2020,21/04/2020,0,https://www.journals.elsevier.com/gastrointestinal-endoscopy/editorial-board,1,0,0,Article,Original article,Article,Article
PMC7328539,10.1016/j.gine.2020.06.013,Journal Article,29/06/2020,29/06/2020,0,https://www.sciencedirect.com/journal/clinica-e-investigacion-en-ginecologia-y-obstetricia,0,1,2,Original,Original,Guidelines,Editorial
PMC7175876,10.1016/j.gsd.2020.100400,Journal Article,18/04/2020,18/04/2020,0,https://www.journals.elsevier.com/groundwater-for-sustainable-development/editorial-board,0,1,0,Perspective,Discussion,Perspective,Editorial
PMC7118697,10.1016/j.hrthm.2020.03.028,Journal Article,25/03/2020,25/03/2020,0,https://www.journals.elsevier.com/heart-rhythm/editorial-board,0,0,5,Article,News From the Heart Rhythm Society ,Guidelines,Editorial
PMC7186517,10.1016/j.idcr.2020.e00762,Journal Article / Case Report,06/04/2020,06/04/2020,0,https://www.journals.elsevier.com/idcases/editorial-board,0,0,0,Case report,-,Case report,Article
PMC7233233,10.1016/j.idcr.2020.e00828,Journal Article,15/05/2020,15/05/2020,0,https://www.journals.elsevier.com/idcases/editorial-board,0,0,0,Case report,Case illustrated,Case report,Article
PMC7250100,10.1016/j.ijcard.2020.04.028,Journal Article,08/04/2020,08/04/2020,0,https://www.journals.elsevier.com/international-journal-of-cardiology/editorial-board,0,1,0,Short communication,Short communication,Article,Article
PMC7263207,10.1016/j.ijinfomgt.2020.102157,Journal Article,23/05/2020,23/05/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7280123,10.1016/j.ijinfomgt.2020.102171,Journal Article,06/06/2020,06/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7307515,10.1016/j.ijinfomgt.2020.102172,Journal Article,08/06/2020,08/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7323683,10.1016/j.ijinfomgt.2020.102173,Journal Article,11/06/2020,11/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7304950,10.1016/j.ijinfomgt.2020.102175,Journal Article,12/06/2020,12/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7324927,10.1016/j.ijinfomgt.2020.102178,Journal Article,14/06/2020,14/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7309933,10.1016/j.ijinfomgt.2020.102180,Journal Article,15/06/2020,15/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7328565,10.1016/j.ijinfomgt.2020.102181,Journal Article,15/06/2020,15/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7320701,10.1016/j.ijinfomgt.2020.102183,Journal Article,15/06/2020,15/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7333595,10.1016/j.ijinfomgt.2020.102185,Journal Article,15/06/2020,15/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7320916,10.1016/j.ijinfomgt.2020.102188,Journal Article,16/06/2020,16/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7327446,10.1016/j.ijinfomgt.2020.102192,Journal Article,19/06/2020,19/06/2020,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,Opinion Paper,Opinion,Editorial
PMC7172675,10.1016/j.ijporl.2020.110059,Journal Article,19/04/2020,19/04/2020,0,https://www.journals.elsevier.com/international-journal-of-pediatric-otorhinolaryngology/editorial-board,0,1,0,Article,-,Guidelines,Editorial
PMC7177110,10.1016/j.ijsu.2020.04.050,Journal Article / Letter,20/04/2020,20/04/2020,0,https://www.journals.elsevier.com/international-journal-of-surgery/editorial-board,0,5,0,Review,Review,Review,Editorial
PMC7151324,10.1016/j.jacbts.2020.04.001,Journal Article,08/04/2020,08/04/2020,0,https://basictranslational.onlinejacc.org/content/editorial-board,0,1,0,Perspective,Translational Perspective ,Perspective,Editorial
PMC7151394,10.1016/j.jacbts.2020.04.002,Journal Article / Review,07/04/2020,07/04/2020,0,https://basictranslational.onlinejacc.org/content/editorial-board,0,0,0,Review,State-of-the-Art Review ,Review,Editorial
PMC7162643,10.1016/j.jacbts.2020.04.003,Journal Article / Review,13/04/2020,13/04/2020,0,https://basictranslational.onlinejacc.org/content/editorial-board,2,0,0,Review,State-of-the-Art Review ,Review,Editorial
PMC7198856,10.1016/j.jacc.2020.03.031,Journal Article / Review,17/03/2020,17/03/2020,0,https://www.onlinejacc.org/content/editorial-board,0,1,0,Review,JACC State-of-the-Art Review,Meta-analysis,Article
PMC7146690,10.1016/j.jacc.2020.04.009,Journal Article / Review,07/04/2020,07/04/2020,0,https://www.onlinejacc.org/content/editorial-board,0,1,0,Review,JACC State-of-the-Art Review,Review,Editorial
PMC7164881,10.1016/j.jacc.2020.04.031,Journal Article / Review,15/04/2020,15/04/2020,0,https://www.onlinejacc.org/content/editorial-board,0,3,1,Review,JACC State-of-the-Art Review,Meta-analysis,Article
PMC7164888,10.1016/j.jaccao.2020.04.002,Journal Article / Review,13/04/2020,13/04/2020,0,https://cardiooncology.onlinejacc.org/journals/editorial-board/jacc-cardiooncology,2,0,0,Review,State-of-the-Art Review ,Meta-analysis,Article
PMC7129776,10.1016/j.jaip.2020.04.001,Journal Article / Review,01/04/2020,01/04/2020,0,https://www.jaci-inpractice.org/content/edboard,0,0,1,Special article,Special article,Guidelines,Editorial
PMC7128345,10.1016/j.jamcollsurg.2020.03.019,Journal Article,19/03/2020,19/03/2020,0,https://www.facs.org/publications/jacs/editorial,0,0,0,Special article,Special article,Guidelines,Editorial
PMC7194622,10.1016/j.jamcollsurg.2020.04.007,Journal Article,02/04/2020,02/04/2020,0,https://www.facs.org/publications/jacs/editorial,0,0,1,Article,Original scientific article ,Article,Article
PMC7184977,10.1016/j.jamcollsurg.2020.04.029,Journal Article,22/04/2020,22/04/2020,0,https://www.facs.org/publications/jacs/editorial,0,0,0,Special article,Special article,Guidelines,Editorial
PMC7177102,10.1016/j.jamda.2020.04.017,Journal Article,17/04/2020,17/04/2020,0,https://www.jamda.com/content/edboard,0,1,0,Opinion Paper,Pragmatic Innovations ,Guidelines,Editorial
PMC7297162,10.1016/j.jamda.2020.06.017,Journal Article,09/06/2020,09/06/2020,0,https://www.jamda.com/content/edboard,0,1,1,Special article,Special article,Perspective,Editorial
PMC7113610,10.1016/j.jare.2020.03.005,Journal Article / Review,15/03/2020,15/03/2020,0,https://www.sciencedirect.com/journal/journal-of-advanced-research/about/editorial-board,0,0,0,Article,-,Review,Editorial
PMC7104051,10.1016/j.jasc.2020.03.001,Journal Article / Review,23/03/2020,23/03/2020,0,https://www.sciencedirect.com/journal/journal-of-the-american-society-of-cytopathology/about/editorial-board,0,1,0,Review,Communication,Review,Editorial
PMC7212283,10.1016/j.jceh.2020.03.001,Journal Article / Review,31/03/2020,31/03/2020,0,https://www.journals.elsevier.com/journal-of-clinical-and-experimental-hepatology/editorial-board,0,1,0,Review,Review article,Review,Editorial
PMC7195368,10.1016/j.jceh.2020.04.001,Journal Article / Review,30/03/2020,30/03/2020,0,https://www.journals.elsevier.com/journal-of-clinical-and-experimental-hepatology/editorial-board,0,1,1,Review,Review article,Review,Editorial
PMC7128256,10.1016/j.jcms.2020.03.011,Journal Article / Review,31/03/2020,31/03/2020,0,https://www.sciencedirect.com/journal/journal-of-cranio-maxillofacial-surgery/about/editorial-board,1,0,0,Review,Review,Review,Editorial
PMC7102609,10.1016/j.jcot.2020.03.014,Journal Article / Review,24/03/2020,24/03/2020,0,https://www.journals.elsevier.com/journal-of-clinical-orthopaedics-and-trauma/editorial-board,0,0,0,Review,-,Guidelines,Editorial
PMC7318951,10.1016/j.jcot.2020.06.031,Journal Article,22/06/2020,22/06/2020,0,https://www.sciencedirect.com/journal/journal-of-clinical-orthopaedics-and-trauma/about/editorial-board,0,0,0,Commentary,-,Commentary,Editorial
PMC7189855,10.1016/j.jdermsci.2020.04.011,Journal Article / Review,24/04/2020,24/04/2020,0,https://www.jdsjournal.com/content/edboard,0,0,0,Invited Review,Invited Review Article ,Review,Editorial
PMC7336933,10.1016/j.jdiacomp.2020.107671,Journal Article,29/06/2020,29/06/2020,0,https://www.sciencedirect.com/journal/journal-of-diabetes-and-its-complications/about/editorial-board,1,0,0,Perspectives,-,Perspectives,Editorial
PMC7250747,10.1016/j.jemep.2020.100536,Journal Article,12/05/2020,12/05/2020,0,https://www.sciencedirect.com/journal/ethics-medicine-and-public-health/about/editorial-board,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7132493,10.1016/j.jhin.2020.01.022,Journal Article / Review,31/01/2020,31/01/2020,0,https://www.journalofhospitalinfection.com/content/edboard,0,0,1,Review,Review,Meta-analysis,Article
PMC7190469,10.1016/j.jhsa.2020.04.024,Journal Article,27/04/2020,27/04/2020,0,https://www.journals.elsevier.com/the-journal-of-hand-surgery/editorial-board,1,0,0,Editor's choice article,Editor's choice article,Case report,Article
PMC7102546,10.1016/j.jmii.2020.02.009,Journal Article,17/02/2020,17/02/2020,0,https://www.sciencedirect.com/journal/journal-of-microbiology-immunology-and-infection/about/editorial-board,0,0,0,Short Communication,Short Communication,Case report,Article
PMC7128959,10.1016/j.jmii.2020.02.012,Journal Article / Review,25/02/2020,25/02/2020,0,https://www.sciencedirect.com/journal/journal-of-microbiology-immunology-and-infection/about/editorial-board,1,1,0,Review,Review article,Review,Editorial
PMC7267541,10.1016/j.jmii.2020.03.003,Journal Article,08/03/2020,08/03/2020,0,https://www.sciencedirect.com/journal/journal-of-microbiology-immunology-and-infection/about/editorial-board,1,1,0,Short Communication,Short Communication,Case report,Article
PMC7276115,10.1016/j.jss.2020.05.014,Journal Article,08/05/2020,08/05/2020,0,https://www.journalofsurgicalresearch.com/content/edboard,0,0,0,Opinion Paper,Education and Career Development ,Commentary,Editorial
PMC7185923,10.1016/j.jtcvs.2020.04.059,Journal Article,16/04/2020,16/04/2020,0,https://www.sciencedirect.com/journal/the-journal-of-thoracic-and-cardiovascular-surgery/about/editorial-board,0,0,2,Opinion Paper,"Adult: Perioperative Management: Invited Expert Opinions
",Guidelines,Editorial
PMC7185017,10.1016/j.jtho.2020.04.015,Journal Article,18/04/2020,18/04/2020,0,https://www.journals.elsevier.com/journal-of-thoracic-oncology/editorial-board,0,0,0,Letter to the Editor,Letter to the Editor,Perspective,Editorial
PMC7142682,10.1016/j.jvir.2020.03.021,Journal Article / Editorial,24/03/2020,24/03/2020,0,https://www.journals.elsevier.com/journal-of-vascular-and-interventional-radiology/editorial-board,0,0,0,Special communication,Special communication,Guidelines,Editorial
PMC7142885,10.1016/j.jvir.2020.03.022,Journal Article / Editorial,24/03/2020,24/03/2020,0,https://www.journals.elsevier.com/journal-of-vascular-and-interventional-radiology/editorial-board,0,1,0,Special communication,Special communication,Guidelines,Editorial
PMC7102556,10.1016/j.micinf.2020.01.003,Journal Article,24/01/2020,24/01/2020,0,https://www.sciencedirect.com/journal/microbes-and-infection/about/editorial-board,1,1,0,Article,-,Review,Editorial
PMC7200334,10.1016/j.msom.2020.05.001,Journal Article,04/05/2020,04/05/2020,0,https://www.sciencedirect.com/journal/medecine-du-sommeil/about/editorial-board,1,0,2,Practical recommendations,Recommandations pratiques ,Guidelines,Editorial
PMC7161531,10.1016/j.nefro.2020.04.002,Journal Article,15/04/2020,15/04/2020,0,https://www.sciencedirect.com/journal/nefrologia/about/editorial-board,0,2,0,Special communication,Artículo especial,Article,Article
PMC7260501,10.1016/j.omsc.2020.100160,Journal Article / Case Report,27/05/2020,27/05/2020,0,https://www.sciencedirect.com/journal/oral-and-maxillofacial-surgery-cases/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7136881,10.1016/j.oraloncology.2020.104682,Journal Article / Editorial,02/04/2020,02/04/2020,0,https://www.sciencedirect.com/journal/oral-oncology/about/editorial-board,0,0,0,Editorial,Editorial,Editorial,Editorial
PMC7203057,10.1016/j.oraloncology.2020.104777,Journal Article / Letter,04/05/2020,04/05/2020,0,https://www.sciencedirect.com/journal/oral-oncology/about/editorial-board,0,0,0,Letter to the editor,Letter to the editor ,Guidelines,Editorial
PMC7247476,10.1016/j.otorri.2020.05.001,Journal Article,13/05/2020,13/05/2020,0,https://www.sciencedirect.com/journal/acta-otorrinolaringologica-espanola/about/editorial-board,0,0,0,Special communication,Artículo Especial,Review,Editorial
PMC7160645,10.1016/j.pcad.2020.04.008,Journal Article / Review,12/04/2020,12/04/2020,0,https://www.sciencedirect.com/journal/progress-in-cardiovascular-diseases/about/editorial-board,0,0,0,Review,Review article,Meta-analysis,Article
PMC7204727,10.1016/j.phrs.2020.104891,Journal Article,01/05/2020,01/05/2020,0,https://www.sciencedirect.com/journal/pharmacological-research/about/editorial-board,0,0,0,Opinion Paper,Opinion,Guidelines,Editorial
PMC7227582,10.1016/j.phrs.2020.104927,Journal Article / Review,13/05/2020,13/05/2020,0,https://www.sciencedirect.com/journal/pharmacological-research/about/editorial-board,0,0,0,Review,Review,Meta-analysis,Article
